cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2017-18635,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2017-18635,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2017-5954,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-094,CWE-094|CWE-079|CWE-116
CVE-2017-5954,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-094,CWE-094|CWE-079|CWE-116
CVE-2017-5954,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-094,CWE-094|CWE-079|CWE-116
CVE-2018-1000086,codeql,true,,OK,true,true,true,true,false,false,false,false,true,6,56,56,true,CWE-601,CWE-079|CWE-116|CWE-601
CVE-2018-1000086,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,6,60,60,true,CWE-601,CWE-079|CWE-116|CWE-601
CVE-2018-1000086,snyk-code,true,,OK,true,true,true,false,false,false,false,false,true,1,61,61,null,CWE-601,CWE-079|CWE-116|CWE-601
CVE-2018-1000096,codeql,false,sem_cwe_no_ground_truth,OK,true,,,,,,,,,,,,,,
CVE-2018-1000096,semgrep,false,sem_cwe_no_ground_truth,OK,true,,,,,,,,,,,,,,
CVE-2018-1000096,snyk-code,false,sem_cwe_no_ground_truth,OK,true,,,,,,,,,,,,,,
CVE-2018-1000620,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-327,CWE-327
CVE-2018-1000620,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-327,CWE-327
CVE-2018-1000620,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-327,CWE-327
CVE-2018-1002203,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022
CVE-2018-1002203,semgrep,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-022,CWE-022
CVE-2018-1002203,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-022,CWE-022
CVE-2018-1002204,codeql,true,,OK,true,true,true,false,false,true,false,false,true,2,0,0,true,CWE-022,CWE-022
CVE-2018-1002204,semgrep,true,,OK,true,true,true,true,true,false,false,false,true,2,71,71,true,CWE-022,CWE-022
CVE-2018-1002204,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-022,CWE-022
CVE-2018-11093,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-11093,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-11093,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2018-11615,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-116,CWE-116|CWE-020
CVE-2018-11615,semgrep,true,,OK,true,true,true,false,false,true,false,false,true,1,0,0,true,CWE-116,CWE-116|CWE-020
CVE-2018-11615,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-116,CWE-116|CWE-020
CVE-2018-11798,codeql,true,,OK,true,true,true,true,true,true,true,true,true,4,0,0,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2018-11798,semgrep,true,,OK,true,true,true,true,true,false,false,false,true,8,1,1,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
