check_id,languages,js_ts
javascript.express.security.audit.remote-property-injection.remote-property-injection,javascript|typescript,sim
javascript.express.security.audit.res-render-injection.res-render-injection,javascript|typescript,sim
javascript.express.security.audit.xss.direct-response-write.direct-response-write,javascript|typescript,sim
javascript.express.security.audit.xss.ejs.explicit-unescape.template-explicit-unescape,regex,nao
javascript.express.security.audit.xss.ejs.var-in-script-src.var-in-script-src,generic,nao
javascript.express.security.audit.xss.ejs.var-in-script-tag.var-in-script-tag,generic,nao
javascript.express.security.audit.xss.mustache.escape-function-overwrite.escape-function-overwrite,javascript|typescript,sim
javascript.express.security.audit.xss.mustache.explicit-unescape.template-explicit-unescape,regex,nao
javascript.express.security.audit.xss.pug.and-attributes.template-and-attributes,regex,nao
javascript.express.security.audit.xss.pug.explicit-unescape.template-explicit-unescape,regex,nao
javascript.express.security.audit.xss.pug.var-in-href.var-in-href,regex,nao
javascript.express.security.audit.xss.pug.var-in-script-tag.var-in-script-tag,regex,nao
javascript.express.security.cors-misconfiguration.cors-misconfiguration,javascript|typescript,sim
javascript.express.security.express-data-exfiltration.express-data-exfiltration,javascript|typescript,sim
javascript.express.security.express-expat-xxe.express-expat-xxe,javascript|typescript,sim
javascript.express.security.express-insecure-template-usage.express-insecure-template-usage,javascript|typescript,sim
javascript.express.security.express-jwt-hardcoded-secret.express-jwt-hardcoded-secret,javascript|typescript,sim
